編輯總資料庫
,成語,出處,頻次
8041,只許州官放火，不准百姓點燈,"[G(1)]:實用成語辭典
[V]:中國成語大辭典
[AC]:成語典",3
8042,只許州官放火，不許百姓點燈,"[D]:簡明實用成語辭典
[E]:成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[W]:成語大辭典(上)(下)",7
8043,只詞片字,"[J]:漢語成語考釋詞典",1
8044,只詞褒貶,"[J]:漢語成語考釋詞典",1
8045,只敬衣衫不敬人,"[AC]:成語典",1
8046,只影自憐,"[J]:漢語成語考釋詞典",1
8047,只影孤形,"[K]:中國成語大辭典",1
8048,只影單形,"[K]:中國成語大辭典",1
8049,只輪不返,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
8050,只輪匹馬,"[J]:漢語成語考釋詞典",1
8051,只鸛斗酒,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
8052,只鸛絮酒,"[K]:中國成語大辭典",1
8053,叫屈連天,"[J]:漢語成語考釋詞典",1
8054,叫屈聲冤,"[AC]:成語典",1
8055,叫苦不迭,"[E]:成語辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典",4
8056,叫苦連天,"[B]:中國成語大辭典
[E]:成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[V]:中國成語大辭典
[AC]:成語典",9
8057,叫囂隳突,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)",2
8058,召父杜母,"[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典",3
8059,召玉樓,"[J]:漢語成語考釋詞典",1
8060,叮嚀再三,"[L]:小叮噹漫書成語小百科(1)~(10)
[V]:中國成語大辭典",2
8061,可一不可再,"[G(1)]:實用成語辭典
[J]:漢語成語考釋詞典
[AC]:成語典",3
8062,可一而不可再,"[B]:中國成語大辭典
[V]:中國成語大辭典",2
8063,可了不得,"[B]:中國成語大辭典",1
8064,可人風味,"[J]:漢語成語考釋詞典",1
8065,可心如意,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典",3
8066,可以休矣,"[B]:中國成語大辭典",1
8067,可以意會，不可以言傳,"[V]:中國成語大辭典
[AB]:漢英對照成語辭典",2
8068,可以意會不可以言傳,"[B]:中國成語大辭典",1
8069,可以會意，不可言傳,"[I]:實用分類學生成語辭典(上)(下)",1
8070,可立而待,"[S]:活用成語分類辭典(上)(下)",1
8071,可企及,"[J]:漢語成語考釋詞典",1
8072,可有可無,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[N]:遠流活用成語辭典
[V]:中國成語大辭典",4
8073,可作,"[J]:漢語成語考釋詞典",1
8074,可見一斑,"[AB]:漢英對照成語辭典",1
8075,可使食無肉，不可居無竹,"[AC]:成語典",1
8076,可欣可泣,"[J]:漢語成語考釋詞典",1
8077,可泣可歌,"[J]:漢語成語考釋詞典",1
8078,可為知己者道,"[V]:中國成語大辭典",1
8079,可為殷鑑,"[W]:成語大辭典(上)(下)",1
8080,可為殷鑒,"[V]:中國成語大辭典",1
8081,可乘之隙,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
8082,可乘之機,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典",3
8083,可留則留,"[B]:中國成語大辭典
[V]:中國成語大辭典",2
8084,可望不可及,"[J]:漢語成語考釋詞典",1
8085,可望不可至,"[J]:漢語成語考釋詞典",1
8086,可望不可即,"[J]:漢語成語考釋詞典",1
8087,可望不可親,"[J]:漢語成語考釋詞典",1
8088,可望不可攀,"[J]:漢語成語考釋詞典",1
8089,可望而不可干,"[J]:漢語成語考釋詞典",1
8090,可望而不可即,"[B]:中國成語大辭典
[E]:成語辭典
[I]:實用分類學生成語辭典(上)(下)
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[V]:中國成語大辭典",6
8091,可望而不可當,"[J]:漢語成語考釋詞典",1
8092,可堪回首,"[J]:漢語成語考釋詞典",1
8093,可進可退,"[B]:中國成語大辭典
[V]:中國成語大辭典",2
8094,可想而不可即,"[J]:漢語成語考釋詞典",1
8095,可想而知,"[B]:中國成語大辭典
[G(2)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[K]:中國成語大辭典
[V]:中國成語大辭典
[AC]:成語典",6
8096,可歌可泣,"[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(下)]:成語分類辭典(上)(下)
[V]:中國成語大辭典
[AB]:漢英對照成語辭典",11
8097,可歌可涕,"[J]:漢語成語考釋詞典",1
8098,可歌可誦,"[J]:漢語成語考釋詞典",1
8099,可歌可釁,"[J]:漢語成語考釋詞典",1
8100,可疑分子,"[AB]:漢英對照成語辭典",1
8101,可聞不可即,"[J]:漢語成語考釋詞典",1
8102,可與共患難不可與共安樂,"[B]:中國成語大辭典",1
8103,可與共患難，不可與共安樂,"[I]:實用分類學生成語辭典(上)(下)
[V]:中國成語大辭典
[AC]:成語典",3
8104,可憐無補費精神,"[P(下)]:成語分類辭典(上)(下)",1
8105,可憐蟲,"[AC]:成語典",1
8106,可操左券,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[G(2)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",12
8107,台銜,"[AC]:成語典",1
8108,台閣生風,"[K]:中國成語大辭典",1
8109,叱吒風雲,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(下)]:成語分類辭典(上)(下)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)",14
8110,叱吒喑噁,"[N]:遠流活用成語辭典",1
8111,叱風雲,"[AC]:成語典
[AD]:洪葉活用成語辭典",2
8112,叱馭,"[A]:彩圖典故辭典(精)",1
8113,叱嗟風雲,"[K]:中國成語大辭典",1
8114,史不絕書,"[B]:中國成語大辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",11
8115,史不闕書,"[J]:漢語成語考釋詞典",1
8116,史無前例,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(下)]:成語分類辭典(上)(下)
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",15
8117,史策丹心,"[AA]:成語典故文選(上)(下)",1
8118,史蹟昭炙,"[B]:中國成語大辭典",1
8119,史蹟昭昭,"[V]:中國成語大辭典",1
8120,史蹟昭然,"[I]:實用分類學生成語辭典(上)(下)",1
8121,右盼左顧,"[J]:漢語成語考釋詞典",1
8122,右遷,"[AC]:成語典",1
8123,司空見慣,"[B]:中國成語大辭典
[C]:經典成語
[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[L]:小叮噹漫書成語小百科(1)~(10)
[M]:(小學生語文學習文庫)成語中的知識第一輯(一)~(四)加附錄
[N]:遠流活用成語辭典
[P(下)]:成語分類辭典(上)(下)
[Q]:繪圖成語故事三百篇(上)(中)(下)
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[U]:同義反義成語詞典
[W]:成語大辭典(上)(下)
[X]:常用成語用法
[Z]:成語辨正辭典
[AA]:成語典故文選(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典
[AD]:洪葉活用成語辭典",25
8124,司空眼慣,"[K]:中國成語大辭典",1
8125,司空經慣,"[J]:漢語成語考釋詞典",1
8126,司空慣見,"[J]:漢語成語考釋詞典",1
8127,司馬之心，路人知之,"[J]:漢語成語考釋詞典",1
8128,司馬牛之嘆,"[J]:漢語成語考釋詞典",1
8129,司馬牛之懮,"[J]:漢語成語考釋詞典",1
8130,司馬青衫,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
8131,司馬昭之心,"[A]:彩圖典故辭典(精)
[K]:中國成語大辭典
[P(上)]:成語分類辭典(上)(下)
[AD]:洪葉活用成語辭典",4
8132,司馬昭之心，路人皆知,"[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[J]:漢語成語考釋詞典
[N]:遠流活用成語辭典
[W]:成語大辭典(上)(下)
[AA]:成語典故文選(上)(下)
[AC]:成語典",8
8133,司馬昭之心路人皆知,"[B]:中國成語大辭典",1
8134,司晨牝鸛,"[J]:漢語成語考釋詞典",1
8135,司農仰屋,"[B]:中國成語大辭典
[V]:中國成語大辭典
[AC]:成語典",3
8136,囚首喪面,"[D]:簡明實用成語辭典
[G(2)]:實用成語辭典
[J]:漢語成語考釋詞典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",7
8137,四十不動心,"[AC]:成語典",1
8138,四十而不惑,"[AC]:成語典",1
8139,四下埋伏,"[AB]:漢英對照成語辭典",1
8140,四大天王,"[AC]:成語典",1
8141,四大奇書,"[AC]:成語典",1
8142,四大金剛,"[AC]:成語典",1
8143,四大金鋼,"[V]:中國成語大辭典",1
8144,四大皆空,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",9
8145,四大書院,"[AC]:成語典",1
8146,四山五嶽,"[B]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[AC]:成語典",3
8147,四不拗六,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
8148,四六不成材,"[B]:中國成語大辭典
[AC]:成語典",2
8149,四六文,"[AC]:成語典",1
8150,四六夾開,"[B]:中國成語大辭典",1
8151,四六偶對,"[AC]:成語典",1
8152,四六駢儷,"[AC]:成語典",1
8153,四分五剖,"[J]:漢語成語考釋詞典
[AC]:成語典",2
8154,四分五裂,"[B]:中國成語大辭典
[E]:成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[Y]:新編成語故事
[AB]:漢英對照成語辭典
[AC]:成語典
[AD]:洪葉活用成語辭典",14
8155,四分五落,"[B]:中國成語大辭典
[J]:漢語成語考釋詞典
[S]:活用成語分類辭典(上)(下)
[AC]:成語典",4
8156,四方八面,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
8157,四方之志,"[AA]:成語典故文選(上)(下)",1
8158,四方步兒,"[AC]:成語典",1
8159,四方雜處,"[J]:漢語成語考釋詞典",1
8160,四四方方,"[B]:中國成語大辭典",1
8161,四平八滿,"[J]:漢語成語考釋詞典",1
8162,四平八穩,"[B]:中國成語大辭典
[E]:成語辭典
[G(2)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(上)]:成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[Z]:成語辨正辭典
[AB]:漢英對照成語辭典
[AC]:成語典",13
8163,四白落地,"[AC]:成語典",1
8164,四百四病,"[AC]:成語典",1
8165,四沖之地,"[J]:漢語成語考釋詞典",1
8166,四知,"[P(上)]:成語分類辭典(上)(下)
[AC]:成語典",2
8167,四知金,"[A]:彩圖典故辭典(精)",1
8168,四亭八當,"[K]:中國成語大辭典",1
8169,四拾五入,"[B]:中國成語大辭典",1
8170,四柱清冊,"[AC]:成語典",1
8171,四科,"[AC]:成語典",1
8172,四處八方,"[J]:漢語成語考釋詞典",1
8173,四郊多故,"[J]:漢語成語考釋詞典",1
8174,四郊多壘,"[B]:中國成語大辭典
[G(2)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[AC]:成語典",8
8175,四郊多難,"[J]:漢語成語考釋詞典",1
8176,四面八方,"[B]:中國成語大辭典
[E]:成語辭典
[H]:活用造句辭典(成語部分)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(下)]:成語分類辭典(上)(下)
[V]:中國成語大辭典
[AB]:漢英對照成語辭典",9
8177,四面受敵,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[M]:(小學生語文學習文庫)成語中的知識第一輯(一)~(四)加附錄
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[AC]:成語典",6
8178,四面玲瓏,"[B]:中國成語大辭典",1
8179,四面楚歌,"[B]:中國成語大辭典
[C]:經典成語
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[M]:(小學生語文學習文庫)成語中的知識第一輯(一)~(四)加附錄
[N]:遠流活用成語辭典
[Q]:繪圖成語故事三百篇(上)(中)(下)
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[Y]:新編成語故事
[Z]:成語辨正辭典
[AA]:成語典故文選(上)(下)
[AC]:成語典
[AD]:洪葉活用成語辭典",24
8180,四時八起,"[I]:實用分類學生成語辭典(上)(下)",1
8181,四時八節,"[B]:中國成語大辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[AC]:成語典",6
8182,四時佳興,"[V]:中國成語大辭典",1
8183,四時氣備,"[K]:中國成語大辭典",1
8184,四氣調神,"[AC]:成語典",1
8185,四海一家,"[G(2)]:實用成語辭典
[J]:漢語成語考釋詞典
[W]:成語大辭典(上)(下)
[AC]:成語典",4
8186,四海之內,"[S]:活用成語分類辭典(上)(下)
[AC]:成語典",2
8187,四海之內皆兄弟,"[D]:簡明實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[AA]:成語典故文選(上)(下)",5
8188,四海之內皆兄弟也,"[B]:中國成語大辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[V]:中國成語大辭典",4
8189,四海之內，皆兄弟也,"[AC]:成語典",1
8190,四海之主,"[AC]:成語典",1
8191,四海之外,"[AC]:成語典",1
8192,四海五湖,"[J]:漢語成語考釋詞典",1
8193,四海升平,"[K]:中國成語大辭典",1
8194,四海兄弟,"[AC]:成語典",1
8195,四海困窮,"[AC]:成語典",1
8196,四海和氣,"[B]:中國成語大辭典
[AC]:成語典",2
8197,四海承風,"[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[AC]:成語典",3
8198,四海昇平,"[G(2)]:實用成語辭典
[S]:活用成語分類辭典(上)(下)
[W]:成語大辭典(上)(下)
[AC]:成語典",4
8199,四海波靜,"[D]:簡明實用成語辭典
[G(1)]:實用成語辭典",2
8200,四海為家,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(上)]:成語分類辭典(上)(下)
[Q]:繪圖成語故事三百篇(上)(中)(下)
[T]:成語辨正辭典
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AA]:成語典故文選(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典
[AD]:洪葉活用成語辭典",19
8201,四海風行,"[S]:活用成語分類辭典(上)(下)",1
8202,四海晏然,"[G(2)]:實用成語辭典
[S]:活用成語分類辭典(上)(下)
[AC]:成語典",3
8203,四海無家,"[AC]:成語典",1
8204,四海橫流,"[J]:漢語成語考釋詞典",1
8205,四級三審,"[AC]:成語典",1
8206,四起八拜,"[B]:中國成語大辭典
[AC]:成語典",2
8207,四馬攢蹄,"[B]:中國成語大辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[AC]:成語典",4
8208,四停八當,"[B]:中國成語大辭典
[J]:漢語成語考釋詞典
[AC]:成語典",3
8209,四捨五入,"[V]:中國成語大辭典
[AC]:成語典",2
8210,四教,"[AC]:成語典",1
8211,四望無際,"[J]:漢語成語考釋詞典",1
8212,四眼狗,"[AC]:成語典",1
8213,四通八達,"[B]:中國成語大辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(下)]:成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",14
8214,四通五達,"[B]:中國成語大辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[AC]:成語典",4
8215,四荒八極,"[AC]:成語典",1
8216,四塞之國,"[B]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[AC]:成語典",3
8217,四會五達,"[AC]:成語典",1
8218,四腳（兒）朝天,"[AC]:成語典",1
8219,四路八方,"[J]:漢語成語考釋詞典",1
8220,四境盈壘,"[J]:漢語成語考釋詞典",1
8221,四端,"[AC]:成語典",1
8222,四維八德,"[AC]:成語典",1
8223,四遠八方,"[J]:漢語成語考釋詞典",1
8224,四遠馳名,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[V]:中國成語大辭典",3
8225,四德三從,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[AC]:成語典",3
8226,四盤（兒）兩碗（兒）,"[AC]:成語典",1
8227,四鄰八舍,"[B]:中國成語大辭典
[J]:漢語成語考釋詞典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[AC]:成語典",5
8228,四壁立,"[A]:彩圖典故辭典(精)
[J]:漢語成語考釋詞典",2
8229,四壁蕭然,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[L]:小叮噹漫書成語小百科(1)~(10)
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典",5
8230,四戰之地,"[B]:中國成語大辭典
[G(2)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",9
